Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741134115,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.06kB / 0B","0B / 0B",18
1741134115,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,0.33%,"261.5MiB / 15.48GiB",1.65%,"226kB / 548kB","0B / 0B",46
1741134115,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.12%,"101.5MiB / 15.48GiB",0.64%,"374kB / 419kB","0B / 0B",35
1741134115,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,0.07%,"72.3MiB / 1GiB",7.06%,"222kB / 160kB","0B / 0B",29
1741134115,469747e068cc,reverse-proxy-controller-1,469747e068cc,0.92%,"890.8MiB / 15.48GiB",5.62%,"1.8MB / 152kB","0B / 0B",235
1741134127,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.06kB / 0B","0B / 0B",18
1741134127,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,1536.29%,"1.698GiB / 15.48GiB",10.97%,"244kB / 589kB","0B / 0B",470
1741134127,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.13%,"101.8MiB / 15.48GiB",0.64%,"374kB / 419kB","0B / 0B",37
1741134127,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,0.13%,"72.3MiB / 1GiB",7.06%,"222kB / 160kB","0B / 0B",29
1741134127,469747e068cc,reverse-proxy-controller-1,469747e068cc,5.90%,"894.5MiB / 15.48GiB",5.64%,"1.85MB / 185kB","0B / 0B",253
1741134138,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.06kB / 0B","0B / 0B",18
1741134138,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,35.38%,"2.459GiB / 15.48GiB",15.89%,"402kB / 847kB","0B / 0B",1446
1741134138,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.65%,"102.3MiB / 15.48GiB",0.65%,"657kB / 740kB","0B / 0B",37
1741134138,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,93.70%,"73.88MiB / 1GiB",7.21%,"391kB / 277kB","0B / 0B",27
1741134138,469747e068cc,reverse-proxy-controller-1,469747e068cc,2.76%,"896.7MiB / 15.48GiB",5.66%,"1.98MB / 219kB","0B / 0B",252
1741134150,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.06kB / 0B","0B / 0B",18
1741134150,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,18.39%,"2.475GiB / 15.48GiB",15.99%,"783kB / 1.4MB","0B / 0B",1441
1741134150,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,1.78%,"103.4MiB / 15.48GiB",0.65%,"1.46MB / 1.67MB","0B / 0B",37
1741134150,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,93.42%,"77.3MiB / 1GiB",7.55%,"929kB / 635kB","0B / 0B",31
1741134150,469747e068cc,reverse-proxy-controller-1,469747e068cc,0.97%,"898.6MiB / 15.48GiB",5.67%,"2.15MB / 269kB","0B / 0B",250
1741134162,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.06kB / 0B","0B / 0B",18
1741134162,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,16.46%,"2.482GiB / 15.48GiB",16.04%,"1.17MB / 1.95MB","0B / 0B",1440
