Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1740622791,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.24kB / 0B","0B / 0B",18
1740622791,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.17%,"117.5MiB / 15.48GiB",0.74%,"82.6MB / 618kB","0B / 0B",32
1740622791,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.09%,"88.51MiB / 15.48GiB",0.56%,"1.39kB / 0B","0B / 0B",38
1740622791,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.57%,"579.1MiB / 15.48GiB",3.65%,"620kB / 82.6MB","0B / 0B",224
1740622791,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.07%,"43.01MiB / 500MiB",8.60%,"1.59kB / 0B","0B / 0B",5
1740622804,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.24kB / 0B","0B / 0B",18
1740622804,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.12%,"117.5MiB / 15.48GiB",0.74%,"82.7MB / 628kB","0B / 0B",32
1740622804,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.08%,"88.51MiB / 15.48GiB",0.56%,"1.39kB / 0B","0B / 0B",38
1740622804,6b7bca08f45e,reverse-proxy-controller-1,6b7bca08f45e,0.69%,"580.3MiB / 15.48GiB",3.66%,"631kB / 82.6MB","0B / 0B",223
1740622804,71381e59d52a,reverse-proxy-api-1,71381e59d52a,0.06%,"43.01MiB / 500MiB",8.60%,"1.59kB / 0B","0B / 0B",5
1740622816,e977bd903415,reverse-proxy-cache-1,e977bd903415,0.00%,"13.79MiB / 20MiB",68.95%,"1.24kB / 0B","0B / 0B",18
1740622816,cb6e8322cd01,reverse-proxy-agent-1,cb6e8322cd01,0.10%,"117.6MiB / 15.48GiB",0.74%,"82.7MB / 638kB","0B / 0B",32
1740622816,979a25dbe352,reverse-proxy-lb-1,979a25dbe352,0.09%,"88.51MiB / 15.48GiB",0.56%,"1.39kB / 0B","0B / 0B",38
