Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741076018,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"15.54MiB / 20MiB",77.70%,"146MB / 138MB","0B / 0B",18
1741076018,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,0.08%,"240.8MiB / 15.48GiB",1.52%,"204MB / 147MB","0B / 0B",36
1741076018,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.08%,"92.02MiB / 15.48GiB",0.58%,"345kB / 422kB","0B / 0B",38
1741076018,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,0.07%,"68.38MiB / 1GiB",6.68%,"227kB / 180kB","0B / 0B",31
1741076018,469747e068cc,reverse-proxy-controller-1,469747e068cc,0.61%,"826.2MiB / 15.48GiB",5.21%,"13.6MB / 86.6MB","0B / 0B",234
1741076033,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"15.54MiB / 20MiB",77.70%,"146MB / 138MB","0B / 0B",18
1741076033,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,0.09%,"240.8MiB / 15.48GiB",1.52%,"204MB / 147MB","0B / 0B",36
1741076033,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.09%,"91.91MiB / 15.48GiB",0.58%,"345kB / 422kB","0B / 0B",38
1741076033,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,0.10%,"68.38MiB / 1GiB",6.68%,"227kB / 180kB","0B / 0B",31
1741076033,469747e068cc,reverse-proxy-controller-1,469747e068cc,0.60%,"828.2MiB / 15.48GiB",5.23%,"13.7MB / 86.7MB","0B / 0B",234
1741076042,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"15.54MiB / 20MiB",77.70%,"146MB / 138MB","0B / 0B",18
1741076042,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,0.04%,"240.8MiB / 15.48GiB",1.52%,"204MB / 147MB","0B / 0B",36
1741076042,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.08%,"91.91MiB / 15.48GiB",0.58%,"345kB / 422kB","0B / 0B",38
1741076042,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,0.08%,"68.38MiB / 1GiB",6.68%,"227kB / 180kB","0B / 0B",31
1741076042,469747e068cc,reverse-proxy-controller-1,469747e068cc,122.53%,"828.8MiB / 15.48GiB",5.23%,"13.7MB / 86.8MB","0B / 0B",233
1741076055,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"15.54MiB / 20MiB",77.70%,"146MB / 138MB","0B / 0B",18
1741076055,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,0.10%,"240.8MiB / 15.48GiB",1.52%,"204MB / 147MB","0B / 0B",36
1741076055,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.09%,"91.91MiB / 15.48GiB",0.58%,"345kB / 422kB","0B / 0B",38
1741076055,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,0.09%,"68.38MiB / 1GiB",6.68%,"227kB / 180kB","0B / 0B",31
1741076055,469747e068cc,reverse-proxy-controller-1,469747e068cc,0.51%,"829.6MiB / 15.48GiB",5.23%,"13.7MB / 86.8MB","0B / 0B",233
1741076067,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"15.54MiB / 20MiB",77.70%,"146MB / 138MB","0B / 0B",18
1741076067,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,0.08%,"240.8MiB / 15.48GiB",1.52%,"204MB / 147MB","0B / 0B",36
1741076067,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.12%,"91.91MiB / 15.48GiB",0.58%,"345kB / 422kB","0B / 0B",38
1741076067,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,0.08%,"68.38MiB / 1GiB",6.68%,"227kB / 180kB","0B / 0B",31
