Timestamp,Container,Name,ID,CPUPerc,MemUsage,MemPerc,NetIO,BlockIO,PIDs
1741134588,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.17kB / 0B","0B / 0B",18
1741134588,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,602.09%,"2.47GiB / 15.48GiB",15.96%,"10.8MB / 15.3MB","0B / 0B",1460
1741134588,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.09%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",38
1741134588,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,89.15%,"82.73MiB / 1GiB",8.08%,"13.2MB / 9.43MB","0B / 0B",26
1741134588,469747e068cc,reverse-proxy-controller-1,469747e068cc,299.61%,"903.7MiB / 15.48GiB",5.70%,"6.3MB / 1.5MB","0B / 0B",253
1741134598,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.17kB / 0B","0B / 0B",18
1741134598,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,125.24%,"2.502GiB / 15.48GiB",16.17%,"13.6MB / 18.6MB","0B / 0B",1444
1741134598,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.09%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",38
1741134598,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,146.75%,"142.6MiB / 1GiB",13.93%,"16.9MB / 12.6MB","0B / 0B",61
1741134598,469747e068cc,reverse-proxy-controller-1,469747e068cc,2.39%,"905.5MiB / 15.48GiB",5.71%,"6.46MB / 1.55MB","0B / 0B",253
1741134610,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.17kB / 0B","0B / 0B",18
1741134610,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,64.98%,"2.576GiB / 15.48GiB",16.64%,"16.5MB / 22.1MB","0B / 0B",1430
1741134610,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.09%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",38
1741134610,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,132.30%,"143.7MiB / 1GiB",14.03%,"20.6MB / 15.9MB","0B / 0B",60
1741134610,469747e068cc,reverse-proxy-controller-1,469747e068cc,1.65%,"906.4MiB / 15.48GiB",5.72%,"6.64MB / 1.6MB","0B / 0B",252
1741134620,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.17kB / 0B","0B / 0B",18
1741134620,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,65.31%,"2.736GiB / 15.48GiB",17.68%,"19.1MB / 25.3MB","0B / 0B",1430
1741134620,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.12%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",38
1741134620,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,141.41%,"149.8MiB / 1GiB",14.63%,"24.1MB / 19MB","0B / 0B",60
1741134620,469747e068cc,reverse-proxy-controller-1,469747e068cc,1.82%,"907.4MiB / 15.48GiB",5.73%,"6.78MB / 1.64MB","0B / 0B",252
1741134632,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.17kB / 0B","0B / 0B",18
1741134632,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,86.08%,"2.862GiB / 15.48GiB",18.49%,"21.9MB / 28.6MB","0B / 0B",1430
1741134632,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.09%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",38
1741134632,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,144.15%,"159.2MiB / 1GiB",15.55%,"27.7MB / 22.2MB","0B / 0B",60
1741134632,469747e068cc,reverse-proxy-controller-1,469747e068cc,5.30%,"908.6MiB / 15.48GiB",5.73%,"6.95MB / 1.69MB","0B / 0B",252
1741134644,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.24kB / 0B","0B / 0B",18
1741134644,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,99.60%,"3.058GiB / 15.48GiB",19.76%,"25.2MB / 34MB","0B / 0B",1430
1741134644,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.08%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",38
1741134644,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,0.10%,"135.8MiB / 1GiB",13.26%,"28.3MB / 22.8MB","0B / 0B",60
1741134644,469747e068cc,reverse-proxy-controller-1,469747e068cc,2.14%,"910MiB / 15.48GiB",5.74%,"7.13MB / 1.74MB","0B / 0B",252
1741134654,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.24kB / 0B","0B / 0B",18
1741134654,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,84.61%,"3.449GiB / 15.48GiB",22.29%,"28.5MB / 38.7MB","0B / 0B",1430
1741134654,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.07%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",38
1741134654,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,146.48%,"149.3MiB / 1GiB",14.58%,"30.6MB / 24.7MB","0B / 0B",60
1741134654,469747e068cc,reverse-proxy-controller-1,469747e068cc,0.82%,"911MiB / 15.48GiB",5.75%,"7.27MB / 1.78MB","0B / 0B",252
1741134666,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.24kB / 0B","0B / 0B",18
1741134666,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,37.66%,"3.646GiB / 15.48GiB",23.56%,"31.3MB / 42.1MB","0B / 0B",1430
1741134666,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.08%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",39
1741134666,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,143.61%,"155.3MiB / 1GiB",15.16%,"34.1MB / 27.8MB","0B / 0B",60
1741134666,469747e068cc,reverse-proxy-controller-1,469747e068cc,0.87%,"912.2MiB / 15.48GiB",5.76%,"7.43MB / 1.81MB","0B / 0B",250
1741134678,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.24kB / 0B","0B / 0B",18
1741134678,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,50.56%,"3.807GiB / 15.48GiB",24.60%,"34MB / 45.3MB","0B / 0B",1437
1741134678,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.09%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",39
1741134678,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,141.73%,"161.1MiB / 1GiB",15.73%,"37.6MB / 30.8MB","0B / 0B",60
1741134678,469747e068cc,reverse-proxy-controller-1,469747e068cc,6.89%,"913.2MiB / 15.48GiB",5.76%,"7.59MB / 1.85MB","0B / 0B",251
1741134688,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.24kB / 0B","0B / 0B",18
1741134688,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,23.61%,"3.92GiB / 15.48GiB",25.33%,"36.6MB / 48.4MB","0B / 0B",1430
1741134688,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.08%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",39
1741134688,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,142.67%,"163.4MiB / 1GiB",15.96%,"41MB / 33.9MB","0B / 0B",60
1741134688,469747e068cc,reverse-proxy-controller-1,469747e068cc,0.87%,"888.1MiB / 15.48GiB",5.60%,"7.73MB / 1.88MB","0B / 0B",249
1741134700,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.24kB / 0B","0B / 0B",18
1741134700,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,78.58%,"4.097GiB / 15.48GiB",26.47%,"39.6MB / 52.5MB","0B / 0B",1430
1741134700,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.08%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",39
1741134700,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,60.51%,"166.3MiB / 1GiB",16.24%,"43.5MB / 36.2MB","0B / 0B",60
1741134700,469747e068cc,reverse-proxy-controller-1,469747e068cc,2.65%,"888.5MiB / 15.48GiB",5.61%,"7.9MB / 1.92MB","0B / 0B",249
1741134711,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.24kB / 0B","0B / 0B",18
1741134711,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,24.87%,"4.38GiB / 15.48GiB",28.30%,"43.6MB / 58.8MB","0B / 0B",1430
1741134711,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.07%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",39
1741134711,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,149.69%,"164.3MiB / 1GiB",16.04%,"45.1MB / 37.5MB","0B / 0B",60
1741134711,469747e068cc,reverse-proxy-controller-1,469747e068cc,1.55%,"889.2MiB / 15.48GiB",5.61%,"8.05MB / 1.96MB","0B / 0B",249
1741134723,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.24kB / 0B","0B / 0B",18
1741134723,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,24.63%,"4.511GiB / 15.48GiB",29.14%,"47MB / 63.3MB","0B / 0B",1431
1741134723,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.12%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",39
1741134723,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,144.64%,"164.8MiB / 1GiB",16.10%,"48MB / 40MB","0B / 0B",60
1741134723,469747e068cc,reverse-proxy-controller-1,469747e068cc,2.04%,"890.6MiB / 15.48GiB",5.62%,"8.23MB / 2.01MB","0B / 0B",251
1741134736,415af4ce659b,reverse-proxy-cache-1,415af4ce659b,0.00%,"13.74MiB / 20MiB",68.69%,"1.24kB / 0B","0B / 0B",18
1741134736,ea7588c7fe76,reverse-proxy-agent-1,ea7588c7fe76,21.16%,"4.651GiB / 15.48GiB",30.05%,"49.9MB / 66.9MB","0B / 0B",1432
1741134736,b19c60f8b9aa,reverse-proxy-lb-1,b19c60f8b9aa,0.08%,"114.1MiB / 15.48GiB",0.72%,"21.2MB / 24.1MB","0B / 0B",39
1741134736,aef6cac2fb96,reverse-proxy-api-1,aef6cac2fb96,140.05%,"165.1MiB / 1GiB",16.13%,"51.4MB / 43MB","0B / 0B",60
1741134736,469747e068cc,reverse-proxy-controller-1,469747e068cc,1.54%,"891.3MiB / 15.48GiB",5.62%,"8.4MB / 2.06MB","0B / 0B",251
