DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 07:00:21,10,20,0,1018.05,70.916,10,84,840,0,0,4.1,11
2025-02-28 07:00:23,10,20,0,1000.75,65.275,10,84,840,0,0,0.6,1.05
2025-02-28 07:00:25,10,20,0,1007.7,49.826,10,84,840,0,0,0.55,1.2
2025-02-28 07:00:27,20,20,0,1013.35,81.506,10,84,840,0,0,0.7,1.9
2025-02-28 07:00:29,20,81,0,1011.79,68.727,40.5,84,3402,0,0,0.506,-21.494
2025-02-28 07:00:31,20,41,0,1014.171,76.458,20.5,84,1722,0,0,0.634,1.195
2025-02-28 07:00:33,28,42,0,1010.81,51.506,21,84,1764,0,0,0.643,0.929
2025-02-28 07:00:35,30,59,0,1003.051,57.088,29.5,84,2478,0,0,0.475,0.966
2025-02-28 07:00:37,30,60,0,1012.583,62.769,30,83.517,2505.5,0,0,0.417,1.067
2025-02-28 07:00:39,30,59,0,991,66.835,29.5,83,2448.5,0,0,0.559,1.169
2025-02-28 07:00:41,39,61,0,1014.672,67.277,30.5,83,2531.5,0,0,0.361,0.967
2025-02-28 07:00:43,40,83,0,996.735,59.836,41.5,83,3444.5,0,0,0.398,1.108
2025-02-28 07:00:45,40,78,0,1008.449,56.901,39,83,3237,0,0,0.359,0.821
2025-02-28 07:00:47,40,84,0,997.833,75.646,42,83,3486,0,0,0.381,0.929
2025-02-28 07:00:49,49,87,0,997.437,62.568,43.5,83.529,3633.5,0,0,0.471,1.287
2025-02-28 07:00:51,50,102,0,1002.225,68.778,51,84,4284,0,0,0.48,0.853
2025-02-28 07:00:53,50,100,0,1000.38,56.827,50,84,4200,0,0,0.45,0.91
2025-02-28 07:00:55,50,98,0,999.327,64.337,49,84,4116,0,0,0.408,0.878
2025-02-28 07:00:57,59,103,0,1012.699,62.787,51.5,84,4326,0,0,0.417,0.913
2025-02-28 07:00:59,60,234,0,1000.077,65.113,117,84,9828,0,0,0.359,0.838
2025-02-28 07:01:01,60,121,0,1007.818,62.13,60.5,83.421,5047,0,0,0.43,0.934
2025-02-28 07:01:03,70,125,0,1000.488,70.31,62.5,83,5187.5,0,0,0.304,0.712
2025-02-28 07:01:05,70,139,0,1004.05,65.671,69.5,83,5768.5,0,0,0.281,0.806
2025-02-28 07:01:07,70,142,0,1005.796,69.692,71,83.585,5934.5,0,0,0.359,0.803
2025-02-28 07:01:09,70,138,0,1002.572,69.936,69,84,5796,0,0,0.391,0.833
2025-02-28 07:01:11,80,149,0,1000.49,69.39,74.5,84,6258,0,0,0.409,0.819
2025-02-28 07:01:13,80,161,0,1001.472,72.953,80.5,82.77,6663,0,0,0.348,0.839
2025-02-28 07:01:15,80,157,0,996.637,64.931,78.5,82,6437,0,0,0.369,0.771
2025-02-28 07:01:17,80,164,0,993.537,66.403,82,82,6724,0,0,0.335,0.732
2025-02-28 07:01:19,90,161,0,996.05,67.495,80.5,82.59,6648.5,0,0,0.373,0.776
2025-02-28 07:01:21,90,182,0,1001.198,65.944,91,83,7553,0,0,0.319,0.742
2025-02-28 07:01:23,90,182,0,1000.593,65.211,91,83,7553,0,0,0.341,0.731
2025-02-28 07:01:25,90,178,0,999.5,65.197,89,83,7387,0,0,0.343,0.753
2025-02-28 07:01:27,100,179,0,1005.156,65.145,89.5,83,7428.5,0,0,0.352,0.804
2025-02-28 07:01:29,100,200,0,1002.08,65.147,100,83,8300,0,0,0.3,0.7
2025-02-28 07:01:31,100,390,0,1001.864,66.065,195,83.305,16244.5,0,0,0.356,0.762
2025-02-28 07:01:33,110,200,0,1001.685,69.432,100,84,8400,0,0,0.31,0.73
2025-02-28 07:01:35,110,219,0,1003.402,64.24,109.5,84,9198,0,0,0.329,0.763
2025-02-28 07:01:37,110,218,0,1008.619,58.364,109,82.817,9027,0,0,0.307,0.702
2025-02-28 07:01:39,110,217,0,1014.843,63.674,108.5,82,8897,0,0,0.401,0.788
2025-02-28 07:01:41,120,219,0,1006.11,59.413,109.5,82,8979,0,0,0.356,0.74
2025-02-28 07:01:43,120,242,0,999.727,63.257,121,83.174,10064,0,0,0.326,0.74
2025-02-28 07:01:45,120,237,0,1001.768,66.541,118.5,84,9954,0,0,0.316,0.705
2025-02-28 07:01:47,120,244,0,997.344,71.594,122,84,10248,0,0,0.291,0.721
2025-02-28 07:01:49,130,244,0,1008.32,62.881,122,84,10248,0,0,0.266,0.664
2025-02-28 07:01:51,130,263,0,997.125,62.723,131.5,84,11046,0,0,0.312,0.711
2025-02-28 07:01:53,130,209,0,998.746,64.808,104.5,84,8778,0,0,0.263,0.665
2025-02-28 07:01:55,130,250,0,1000.244,58.626,125,83.596,10449.5,0,0,0.312,0.672
2025-02-28 07:01:57,140,257,0,1007.284,62.116,128.5,83,10665.5,0,0,0.284,0.704
2025-02-28 07:01:59,140,281,0,998.075,63.97,140.5,83,11661.5,0,0,0.26,0.623
2025-02-28 07:02:01,140,564,0,1003.222,64.009,282,83,23406,0,0,0.245,0.606
2025-02-28 07:02:03,146,281,0,1003.619,64.919,140.5,83,11661.5,0,0,0.217,0.541
2025-02-28 07:02:05,150,298,0,1002.04,66.275,149,83,12367,0,0,0.191,0.5
2025-02-28 07:02:07,150,303,0,995.842,68.313,151.5,83.469,12645.5,0,0,0.244,0.545
2025-02-28 07:02:09,150,302,0,997.974,70.981,151,84,12684,0,0,0.219,0.523
2025-02-28 07:02:11,155,292,0,995.432,68.497,146,84,12264,0,0,0.182,0.534
2025-02-28 07:02:13,160,318,0,999.088,63.418,159,83.094,13212,0,0,0.214,0.56
2025-02-28 07:02:15,160,318,0,1010.582,61.582,159,82,13038,0,0,0.239,0.531
2025-02-28 07:02:17,160,318,0,1001.044,64.519,159,82,13038,0,0,0.245,0.563
