DateTime,vuser,Tests,Errors,Mean_Test_Time_(ms),Test_Time_Standard_Deviation_(ms),TPS,Mean_response_length,Response_bytes_per_second,Response_errors,Mean_time_to_resolve_host,Mean_time_to_establish_connection,Mean_time_to_first_byte
2025-02-28 07:13:38,50,100,0,1000.76,59.809,50,81,4050,0,0,0.42,1.4
2025-02-28 07:13:40,50,100,0,1001.24,58,50,81,4050,0,0,0.35,0.8
2025-02-28 07:13:42,50,100,0,1007.94,64.096,50,81,4050,0,0,0.23,0.61
2025-02-28 07:13:44,100,100,0,1005.35,59.5,50,81.97,4098.5,0,0,0.29,0.92
2025-02-28 07:13:46,100,398,0,1002.357,67.864,199,82,16318,0,0,0.382,0.794
2025-02-28 07:13:48,100,200,0,1000.62,61.534,100,82,8200,0,0,0.25,0.57
2025-02-28 07:13:50,100,199,0,1007.869,64.004,99.5,81.04,8063.5,0,0,0.271,0.719
2025-02-28 07:13:52,150,198,0,995.192,64.963,99,81,8019,0,0,0.328,0.687
2025-02-28 07:13:54,150,298,0,1002.899,63.608,149,81,12069,0,0,0.359,0.758
2025-02-28 07:13:56,150,301,0,1008.346,67.65,150.5,81.007,12191.5,0,0,0.229,0.854
2025-02-28 07:13:58,150,297,0,1001.949,65.465,148.5,81,12028.5,0,0,0.276,0.589
2025-02-28 07:14:00,200,310,0,997.574,64.623,155,81,12555,0,0,0.326,0.713
2025-02-28 07:14:02,200,396,0,1002.98,64.931,198,81.015,16041,0,0,0.318,1.346
2025-02-28 07:14:04,200,389,0,1001.005,66.413,194.5,81,15754.5,0,0,0.231,0.553
2025-02-28 07:14:06,200,398,0,1002.279,63.415,199,81,16119,0,0,0.289,0.621
2025-02-28 07:14:08,250,400,0,1007.403,70.468,200,81.028,16205.5,0,0,0.315,1.742
2025-02-28 07:14:10,250,496,0,998.454,69.815,248,81,20088,0,0,0.325,0.627
2025-02-28 07:14:12,250,522,0,1000.021,66.432,261,81.021,21146.5,0,0,0.268,0.584
2025-02-28 07:14:14,250,503,0,999.567,66.702,251.5,81.926,20604.5,0,0,0.241,0.612
2025-02-28 07:14:16,300,1054,0,1000.223,66.003,527,82,43214,0,0,0.329,0.636
2025-02-28 07:14:18,300,604,0,1000.449,67.327,302,82,24764,0,0,0.233,0.535
2025-02-28 07:14:20,300,596,0,1004.565,65.282,298,82,24436,0,0,0.18,0.747
